@relation datubasea-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/equalize

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
255,5,0,0,7,13,0,0,0,0,0,0,0,0,0,0,23,9,0,0,6,75,3,0,0,4,19,0,0,0,0,0,3,6,0,0,0,20,6,0,0,2,74,2,0,0,3,13,0,0,0,0,0,0,1,0,0,0,17,5,0,0,1,53,ant
36,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,2,0,0,2,2,0,0,0,1,4,0,0,0,0,0,2,4,6,0,0,1,0,0,0,5,255,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,23,4,0,0,11,51,ant
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,255,7,0,0,58,8,0,0,34,2,0,0,ant
171,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,69,255,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,44,0,0,0,100,161,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,114,0,0,0,74,105,ant
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,ant
255,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,173,69,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,101,0,0,28,97,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,121,0,2,4,77,90,ant
255,0,0,0,167,23,0,0,0,0,0,0,0,0,0,0,8,1,0,0,10,171,14,0,0,79,174,0,0,0,0,0,0,0,0,0,0,14,2,0,0,2,153,4,0,0,22,65,0,0,0,0,0,0,0,0,0,0,9,3,0,0,1,128,ant
207,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,80,2,0,0,39,168,0,0,0,68,0,0,0,0,0,0,1,0,0,0,10,191,1,0,0,69,96,0,0,0,21,4,0,0,0,0,0,112,0,0,0,12,255,9,0,0,13,147,ant
140,0,0,0,36,8,0,0,0,16,26,0,0,22,255,162,11,0,0,0,12,3,0,0,0,14,9,0,0,14,175,133,0,0,0,0,0,0,0,0,0,2,2,0,0,2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,ant
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,ant
144,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,110,255,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,235,122,4,0,10,75,6,0,0,0,0,0,0,0,0,0,6,33,4,0,1,123,62,ant
255,65,0,0,7,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,9,0,0,17,72,21,0,0,166,13,0,0,0,0,0,0,0,0,0,0,22,1,0,0,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ant
