@relation datubasea-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/gaussblur

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
255,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ant
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,8,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,175,255,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,71,193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,255,81,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,21,ant
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,ant
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,206,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,113,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
255,2,0,0,31,150,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,148,1,0,0,4,49,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,53,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,ant
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,23,186,0,0,0,52,0,0,0,0,0,0,2,0,0,0,12,255,2,0,0,27,97,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,178,0,0,0,8,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,7,75,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,47,0,0,0,78,161,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,171,255,ant
255,8,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,0,0,8,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,ant
6,0,0,0,126,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,40,167,0,0,2,255,0,0,0,48,0,0,0,0,0,0,0,4,0,0,0,24,35,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,90,ant
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
10,0,0,0,10,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,29,9,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,255,ant
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15,255,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,220,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ant
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,ant
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
193,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,10,1,0,0,22,255,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,239,188,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,ant
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,255,ant
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,ant
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,17,179,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,212,0,0,0,255,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,6,ant
82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,ant
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,ant
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ant
0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,18,0,0,10,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,ant
50,2,0,0,8,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,74,0,0,0,3,6,0,0,0,0,0,25,0,0,0,16,44,0,0,0,115,255,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,0,9,0,ant
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,177,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,28,0,0,151,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,25,16,0,ant
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,20,38,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,27,255,ant
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,0,0,13,21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,75,1,0,0,25,198,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,255,95,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,255,ant
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,ant
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,255,ant
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
