@relation datubasea-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ant
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ant
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,180,255,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ant
255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,52,160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,247,96,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,29,ant
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,ant
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,255,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,65,0,0,3,79,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,2,ant
255,2,0,0,28,139,0,0,0,0,0,0,0,0,0,0,11,2,0,0,2,91,1,0,0,4,43,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,42,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,ant
186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,31,180,0,0,0,50,1,0,0,0,0,0,3,0,0,0,12,255,2,0,0,26,91,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,223,0,0,0,10,5,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,28,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,255,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ant
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,ant
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,0,0,17,59,0,0,0,18,0,0,0,0,0,0,1,2,0,0,0,28,0,0,0,61,105,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,161,255,ant
255,12,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,7,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,ant
21,0,0,0,153,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,57,175,0,0,5,255,0,0,0,62,0,0,0,0,0,0,0,5,0,0,0,23,26,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,118,ant
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
17,0,0,0,23,10,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,8,1,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ant
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,255,ant
49,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,30,218,4,0,1,34,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,255,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27,ant
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,ant
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
245,3,0,0,7,3,0,0,0,0,0,0,0,0,0,0,21,1,0,0,51,150,0,0,0,122,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,255,221,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,10,ant
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,255,ant
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,0,0,0,0,0,0,ant
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,20,206,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,232,0,0,0,255,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38,0,0,0,25,ant
85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,ant
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,7,ant
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ant
0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,43,0,0,3,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
68,2,0,0,10,5,0,0,0,0,0,0,0,0,0,0,45,0,0,0,42,46,0,0,0,2,6,0,0,0,0,0,26,0,0,0,19,24,0,0,0,82,255,15,0,0,0,2,0,0,0,0,0,0,0,0,0,1,55,0,0,0,13,2,ant
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,2,0,0,145,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,28,0,0,131,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,31,16,4,ant
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,20,255,ant
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,0,0,14,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,20,57,2,0,0,18,174,0,0,0,55,0,0,0,0,0,0,0,0,0,0,2,32,1,0,0,255,116,ant
