@relation datubasea-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,ant
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,ant
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,174,255,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,7,ant
255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,53,168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,241,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,50,ant
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,ant
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,255,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,68,0,0,2,85,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,16,ant
255,2,0,0,27,139,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,102,1,0,0,4,42,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,48,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,ant
183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,30,191,0,0,0,49,0,0,0,0,0,0,2,0,0,0,10,255,2,0,0,30,102,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,222,0,0,0,10,37,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,255,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,ant
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,ant
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,0,16,58,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,53,103,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,147,255,ant
255,12,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,0,0,7,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,ant
19,0,0,0,154,27,0,0,0,0,0,0,0,0,0,0,9,0,0,0,53,180,0,0,6,255,0,0,0,56,0,0,0,0,0,0,0,4,0,0,0,27,32,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,141,ant
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
13,0,0,0,27,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,9,2,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,ant
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,255,ant
48,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,30,226,3,0,1,37,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,255,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,50,ant
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,13,ant
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
250,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,24,1,0,0,59,173,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,255,254,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,36,ant
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,255,ant
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,5,0,0,0,0,7,3,ant
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,17,204,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,222,0,0,0,255,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,0,0,0,41,ant
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,ant
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,14,ant
