@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns76' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns81' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns112' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns117' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns214' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns215' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns220' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns224' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns252' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns295' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns304' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns309' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns323' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns325' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns327' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns328' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns355' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns359' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns363' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns387' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns397' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns398' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns435' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns436' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns440' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns441' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns471' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns504' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns512' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns535' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns541' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns585' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns597' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns615' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns628' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns657' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns664' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns711' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns728' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns729' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns736' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns755' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,4,3,3,1,5,2,3,3,3,2,0,0,5,7,12,0,0,0,15,14,1,5,1,15,1,2,9,11,2,1,3,2,0,2,4,6,3,1,5,7,10,6,2,1,11,13,0,3,4,0,1,1,1,5,2,3,2,3,15,ant
2,9,1,9,1,10,1,6,3,0,5,14,14,1,15,10,0,0,0,0,12,1,12,0,10,1,5,10,10,3,0,8,2,1,0,2,9,2,1,12,15,10,13,1,2,8,7,2,0,0,0,0,6,0,2,0,4,0,2,15,ant
0,7,0,8,0,3,0,13,0,0,8,4,2,9,15,3,0,6,2,11,10,2,10,0,4,0,5,2,4,4,0,9,1,0,0,10,10,0,0,9,15,3,15,0,0,2,6,0,0,0,4,0,3,0,8,0,15,0,8,0,ant
1,7,0,7,1,6,0,6,0,1,9,4,1,5,5,6,1,7,0,6,3,0,1,0,1,3,5,7,11,4,1,8,1,1,0,4,15,0,0,10,15,15,13,1,3,7,15,1,1,1,0,0,3,0,4,7,15,0,7,10,ant
3,4,2,4,4,4,1,3,2,3,4,15,14,4,5,12,2,4,2,15,11,3,3,3,11,4,6,13,15,5,3,4,2,5,4,2,4,2,3,3,3,11,5,1,3,12,14,4,2,3,1,2,4,1,5,5,3,3,4,15,ant
2,12,1,12,2,12,1,10,1,1,9,6,4,12,15,11,2,11,2,13,4,0,11,0,3,1,11,12,13,7,2,8,1,2,2,15,15,1,1,14,15,8,15,0,1,11,13,2,1,1,2,2,12,1,11,10,8,1,8,15,ant
1,11,0,10,1,12,1,12,0,0,9,0,0,9,15,7,1,7,1,15,0,0,0,0,0,2,8,7,11,10,1,13,1,0,1,14,15,0,0,0,0,12,12,1,2,4,8,0,0,0,0,0,0,0,0,3,15,0,7,5,ant
0,6,0,7,0,6,0,8,0,0,7,0,0,8,15,1,0,13,0,1,0,0,2,0,0,0,1,1,2,2,0,6,0,0,0,11,15,1,0,3,15,3,15,0,0,1,3,0,0,0,0,0,6,0,8,4,15,0,11,2,ant
3,7,1,7,3,7,1,8,1,1,7,6,5,9,11,12,0,10,0,5,11,3,8,2,9,3,4,14,15,5,3,5,0,5,0,4,6,1,0,4,8,14,9,0,4,15,13,2,2,0,8,4,5,1,4,4,7,0,5,9,ant
3,6,2,5,3,5,2,8,1,2,5,8,3,9,12,11,0,4,1,8,15,4,6,4,7,3,5,11,15,6,2,4,2,4,0,8,15,0,0,4,15,15,4,2,3,10,15,1,3,1,0,1,3,2,5,4,6,0,3,15,ant
0,7,0,10,0,4,0,10,1,0,11,0,0,7,15,2,1,10,0,9,0,0,4,0,0,0,5,13,15,9,3,9,1,1,2,8,15,2,0,5,15,0,15,0,0,7,9,1,1,1,1,0,8,0,9,3,15,0,10,3,ant
1,7,0,9,1,7,0,8,0,1,10,15,2,6,15,3,0,11,1,3,12,2,2,3,8,0,4,6,10,4,1,9,0,1,1,6,15,0,0,8,15,2,15,0,0,3,3,0,1,1,0,0,15,1,8,3,6,0,9,15,ant
2,12,1,12,2,12,1,10,1,2,12,12,11,10,8,7,1,5,0,4,15,2,7,2,9,1,7,10,14,8,2,12,1,1,2,7,7,1,1,11,15,11,11,1,1,11,15,3,2,2,3,1,11,2,10,9,9,2,9,9,ant
2,4,1,4,2,4,1,3,1,1,6,10,15,4,5,5,1,4,1,15,9,2,4,2,15,3,2,6,11,4,2,2,1,2,3,4,5,1,5,7,7,6,5,1,1,7,12,2,1,2,2,2,3,3,5,3,6,0,6,15,ant
0,5,0,14,0,5,0,5,0,1,14,0,0,5,15,1,0,15,1,2,1,0,4,0,0,0,2,2,3,3,0,5,0,0,1,6,15,1,0,3,10,2,15,0,0,3,3,0,0,2,1,0,15,0,15,3,3,1,15,2,ant
3,7,1,9,3,5,1,7,1,1,14,15,13,6,8,3,0,5,0,5,15,3,7,3,11,3,5,0,15,8,5,5,5,2,0,0,0,0,1,4,15,13,7,1,4,9,15,4,2,0,1,15,0,0,15,15,14,0,14,7,ant
1,8,2,8,1,8,2,7,1,2,8,14,11,4,9,7,1,7,1,13,15,2,9,2,12,1,6,11,15,7,1,9,1,1,2,8,11,1,1,11,15,11,9,2,1,8,13,1,2,1,1,0,12,3,5,6,10,3,7,10,ant
