@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 30'

@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns24' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns359' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns139' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns14' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns103' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns18' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns358' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns21' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns175' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns411' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns362' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
3,3,1,1,0,1,1,2,1,7,0,0,3,15,1,0,1,1,2,9,0,2,1,0,5,0,0,1,0,2,ant
0,0,2,1,1,1,0,2,0,15,0,1,1,10,1,1,1,2,5,10,0,1,2,1,8,1,1,1,0,6,ant
0,0,0,0,0,0,0,1,0,15,0,0,0,4,0,0,0,0,8,2,0,0,0,0,14,0,0,0,0,3,ant
1,1,1,1,0,0,1,1,1,15,0,0,0,1,1,1,0,1,9,7,0,1,1,0,1,1,0,2,0,6,ant
3,2,3,4,2,1,3,2,3,3,1,1,2,11,4,5,1,3,4,13,1,1,4,2,15,2,2,4,2,5,ant
1,1,2,2,1,1,2,1,3,15,2,2,1,3,2,2,2,1,9,12,2,0,2,2,4,2,2,2,2,10,ant
0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,2,9,7,1,1,0,0,0,0,0,0,0,11,ant
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,ant
1,2,3,3,1,1,3,0,2,8,1,1,1,9,4,5,2,4,7,14,1,0,2,1,10,2,2,3,1,5,ant
2,3,3,3,1,1,2,2,3,15,1,1,2,7,3,4,1,3,5,11,1,2,2,1,9,2,2,2,1,5,ant
0,1,0,0,0,0,3,1,1,15,0,0,0,0,1,1,0,0,11,13,0,0,1,1,0,0,0,0,1,4,ant
1,1,1,1,0,0,1,0,1,15,0,0,0,8,1,1,0,0,10,6,0,0,0,0,15,0,0,0,0,2,ant
2,2,2,2,1,1,2,1,2,15,1,1,1,9,2,1,2,1,12,10,1,1,2,1,14,1,1,2,1,5,ant
1,1,2,2,1,1,2,1,2,7,1,0,1,15,2,2,1,2,6,6,1,1,3,1,5,1,1,3,0,2,ant
1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,2,0,0,1,0,1,0,0,1,0,0,ant
1,2,3,3,2,2,5,5,3,15,1,1,1,11,3,2,1,3,14,0,2,1,5,1,15,2,2,3,0,6,ant
2,2,1,1,1,1,1,1,1,15,1,1,2,12,1,1,1,1,8,11,1,2,1,1,15,1,1,1,1,6,ant
1,3,1,1,0,0,1,0,1,15,0,1,1,0,1,1,1,0,15,5,1,0,1,0,0,1,0,1,0,11,ant
2,2,4,3,1,2,4,1,4,12,2,1,2,15,5,5,1,3,4,13,1,1,4,2,15,2,2,3,2,4,ant
2,2,3,2,1,1,1,2,2,15,1,1,2,15,1,0,1,2,6,10,1,1,2,1,15,2,2,2,1,5,ant
0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,2,ant
0,1,2,2,1,0,2,1,2,1,1,1,1,15,2,1,1,2,3,3,1,1,3,1,10,1,1,2,0,2,ant
0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,9,2,0,0,0,0,15,0,0,0,0,5,ant
1,0,1,1,1,1,0,1,0,11,1,1,1,3,0,0,2,1,14,6,2,0,1,0,5,1,1,1,0,8,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,ant
2,1,0,0,0,1,0,0,0,13,1,1,2,8,0,0,1,0,13,5,1,2,0,1,15,0,0,0,1,9,ant
1,0,3,3,1,1,1,1,2,12,1,1,1,14,2,2,1,3,9,8,1,0,3,0,15,3,2,3,1,5,ant
1,1,4,3,1,1,4,1,4,2,2,1,1,15,3,4,1,3,3,11,1,0,4,1,15,2,1,3,1,7,ant
1,0,0,0,0,0,0,2,0,15,0,0,0,7,0,0,0,1,9,10,0,1,1,0,10,0,0,0,1,5,ant
0,0,2,1,1,1,2,1,3,15,1,1,0,15,2,0,1,2,9,8,1,0,1,2,15,2,1,1,1,6,ant
1,0,2,2,1,1,3,1,2,2,1,1,1,9,3,2,1,1,12,9,2,1,1,2,15,2,1,1,2,6,ant
0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,0,0,0,7,1,0,0,0,0,7,0,0,0,0,3,ant
1,1,1,2,1,1,4,1,3,8,1,1,1,2,4,2,1,1,8,9,1,1,1,2,10,1,1,1,2,5,ant
2,2,3,3,1,1,2,1,1,6,1,1,2,12,1,1,2,4,7,11,1,2,3,0,12,2,2,2,0,5,ant
1,2,1,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,11,4,0,0,0,1,7,0,0,0,0,6,ant
0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,8,9,0,0,0,0,0,0,0,0,1,0,ant
2,2,4,3,1,1,4,1,4,4,1,1,1,15,3,2,1,3,2,13,1,0,4,1,12,1,1,3,1,5,ant
1,0,2,2,1,1,3,1,2,0,1,1,2,15,3,2,1,3,6,4,1,2,2,1,6,1,1,4,1,2,ant
0,0,0,0,0,0,0,0,0,15,0,0,0,2,1,1,0,0,7,3,0,0,0,0,1,0,0,0,0,8,ant
0,0,0,0,0,0,0,4,0,15,0,0,0,1,0,0,0,0,11,7,0,2,0,0,2,0,0,0,0,3,ant
