@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 19'

@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients157' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients96' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients149' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients160' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
21,36,22,18,21,27,11,13,75,25,6,12,18,13,4,92,3,153,6,ant
7,14,16,10,11,14,5,4,58,7,4,8,9,6,3,55,3,139,3,ant
28,59,34,124,108,43,23,18,163,31,13,20,29,25,14,153,14,255,13,ant
42,78,32,102,86,50,17,27,99,45,15,21,32,30,27,126,22,255,16,ant
55,45,0,27,29,0,0,34,36,62,0,0,0,23,0,33,1,24,2,ant
43,67,31,84,101,45,15,24,86,48,17,19,30,22,13,100,6,210,6,ant
27,58,55,95,61,53,21,13,153,19,22,31,27,22,22,92,19,255,27,ant
24,34,35,212,138,45,26,13,70,17,34,22,41,12,42,49,29,188,30,ant
11,27,12,130,167,27,8,7,63,8,17,8,11,9,20,66,15,79,17,ant
28,23,0,60,77,0,0,14,36,25,0,0,0,16,0,50,0,196,1,ant
47,76,22,149,89,28,13,37,48,59,11,13,28,25,7,95,14,213,14,ant
20,38,36,40,19,34,22,22,100,19,7,19,19,14,9,85,5,237,8,ant
21,39,22,93,100,34,14,16,91,19,12,11,24,13,8,80,12,255,13,ant
12,10,0,10,12,0,0,5,36,13,0,0,0,4,0,44,0,133,2,ant
14,33,26,79,64,45,15,10,106,13,35,13,18,13,20,85,57,187,36,ant
14,30,9,21,18,21,6,10,56,15,15,7,10,12,15,65,7,137,12,ant
60,74,28,132,158,50,13,32,88,61,38,17,28,38,45,117,59,56,30,ant
40,56,26,68,49,37,22,26,104,24,7,15,25,29,6,139,14,255,14,ant
23,23,0,13,21,0,0,18,36,29,0,0,0,14,0,50,0,131,2,ant
22,54,22,69,102,37,12,18,59,27,25,12,22,15,25,67,21,169,25,ant
23,30,15,169,106,18,11,16,89,18,12,13,13,16,25,98,20,255,12,ant
17,17,0,11,12,0,0,18,36,23,0,0,0,9,0,48,1,132,2,ant
43,58,32,128,105,37,15,28,68,47,21,20,21,27,17,102,12,255,11,ant
45,45,31,116,67,46,26,32,98,44,10,27,25,27,11,101,10,255,7,ant
5,7,7,151,117,7,4,4,60,4,4,4,5,5,7,57,9,255,3,ant
14,22,13,42,39,22,9,8,71,15,8,9,10,10,4,79,3,108,5,ant
27,23,0,98,139,0,0,12,36,28,0,0,0,14,0,49,0,202,1,ant
25,29,52,19,15,37,29,13,34,34,15,18,54,11,7,30,11,14,8,ant
25,39,37,211,235,48,16,8,76,23,18,23,34,11,28,74,20,198,19,ant
49,73,31,118,94,40,11,28,39,57,11,15,25,30,5,55,2,255,4,ant
18,23,9,17,15,16,4,11,57,19,7,4,7,12,6,59,3,155,5,ant
24,45,26,154,127,41,19,13,68,23,25,17,31,17,26,67,38,157,25,ant
10,18,7,17,12,13,2,6,59,12,8,4,4,6,5,54,2,145,5,ant
75,67,0,117,153,0,0,38,36,84,0,0,0,33,0,48,0,83,4,ant
18,23,17,37,25,21,9,10,67,15,5,8,10,11,3,70,5,197,5,ant
8,18,15,22,22,16,6,4,60,9,4,10,10,7,2,60,2,176,4,ant
51,46,0,3,7,0,0,33,36,76,0,0,0,22,0,25,0,24,0,ant
13,20,10,8,11,15,6,6,53,12,8,7,7,6,3,57,2,135,5,ant
27,42,23,148,74,34,10,15,37,31,12,10,21,13,10,55,13,255,10,ant
41,59,29,107,105,50,26,27,77,46,22,31,29,22,25,78,19,76,8,ant
37,48,33,147,129,48,33,23,116,23,16,25,27,27,35,123,34,185,11,ant
26,38,28,93,91,50,21,18,167,27,11,19,32,22,15,114,18,255,16,ant
4,10,3,18,17,6,2,2,50,3,6,2,2,4,4,48,2,154,5,brontosaurus
6,12,6,9,6,9,4,4,58,9,4,3,6,7,2,57,2,143,1,brontosaurus
6,9,8,33,36,9,3,3,55,5,9,3,3,4,17,52,7,136,9,brontosaurus
23,36,20,223,188,35,9,12,61,18,36,8,19,11,33,81,34,182,37,brontosaurus
60,65,49,178,185,56,32,31,105,50,19,24,42,29,31,108,22,172,19,brontosaurus
22,34,26,5,8,38,11,11,65,17,9,11,27,8,15,62,8,21,7,brontosaurus
47,56,36,77,69,43,17,30,59,47,20,13,27,21,13,67,9,29,11,brontosaurus
34,49,31,97,112,43,22,27,127,32,13,20,34,24,13,114,12,232,9,brontosaurus
16,17,13,41,42,18,7,10,67,13,7,9,14,8,8,70,8,175,10,brontosaurus
35,44,23,212,254,37,20,28,77,39,21,17,27,18,32,86,37,96,22,brontosaurus
10,16,12,11,12,13,6,5,59,12,3,8,11,6,2,55,2,136,4,brontosaurus
48,72,25,28,33,37,11,35,69,57,7,10,24,29,8,102,4,61,9,brontosaurus
41,46,31,103,95,43,18,30,70,42,28,19,31,22,19,75,20,86,15,brontosaurus
49,56,36,206,167,54,23,34,74,39,20,24,32,25,16,80,14,214,22,brontosaurus
7,6,0,5,4,0,0,3,36,6,0,0,0,2,0,40,0,150,0,brontosaurus
21,31,26,240,255,29,14,21,76,21,33,18,20,21,67,68,61,125,24,brontosaurus
34,50,25,14,21,36,10,18,72,28,14,10,15,17,16,95,12,149,18,brontosaurus
39,71,28,255,211,35,20,26,88,51,28,22,27,30,52,98,46,102,26,brontosaurus
10,13,6,14,10,8,3,4,50,9,3,3,5,4,2,57,1,152,3,brontosaurus
32,56,27,181,151,43,17,21,63,32,26,14,21,22,38,68,46,131,21,brontosaurus
32,48,24,199,222,33,24,27,77,33,17,21,20,28,48,117,61,158,14,brontosaurus
32,40,22,141,126,47,19,14,79,30,26,17,30,15,34,69,23,255,23,brontosaurus
19,31,29,191,202,33,19,12,59,27,15,16,35,13,25,52,30,240,18,brontosaurus
11,20,8,49,49,14,9,6,56,9,17,6,10,8,14,54,15,149,18,brontosaurus
17,27,19,251,211,23,11,9,73,13,24,10,16,11,38,69,24,127,21,brontosaurus
58,57,0,198,146,0,0,27,36,71,0,0,0,25,0,94,17,201,29,brontosaurus
58,50,0,66,75,0,0,36,36,71,0,0,0,34,0,69,0,31,1,brontosaurus
3,4,2,8,9,4,2,2,40,2,3,3,2,3,1,40,1,134,3,brontosaurus
44,65,34,155,148,51,21,31,67,44,20,16,40,30,12,85,9,221,8,brontosaurus
15,24,14,23,25,13,8,11,56,13,16,8,11,9,12,59,6,155,14,brontosaurus
25,29,30,136,152,42,16,14,79,21,8,23,25,19,4,70,4,185,7,brontosaurus
67,75,0,112,158,0,0,37,36,65,0,0,0,33,0,51,5,54,14,brontosaurus
59,68,21,106,152,29,12,36,36,57,49,13,18,27,86,110,25,62,35,brontosaurus
47,45,33,188,204,46,20,29,97,40,30,19,26,29,29,115,20,222,11,brontosaurus
4,19,12,28,21,13,5,3,54,5,12,6,6,3,6,51,10,150,10,brontosaurus
71,67,73,47,64,77,28,31,97,75,56,29,75,26,46,88,42,27,49,brontosaurus
5,6,3,4,5,6,2,3,47,6,5,2,2,4,4,46,2,132,4,brontosaurus
47,41,0,40,45,0,0,19,36,53,0,0,0,15,0,57,1,81,4,brontosaurus
7,11,5,13,17,5,2,3,41,8,7,2,4,6,6,44,6,136,6,brontosaurus
21,31,32,44,42,47,13,12,98,13,46,22,15,16,40,61,11,164,15,brontosaurus
41,55,23,16,14,40,12,20,76,41,8,11,22,24,10,93,8,143,7,brontosaurus
19,39,17,206,201,34,10,15,47,22,26,11,18,11,36,41,22,89,14,brontosaurus
5,6,4,22,19,5,2,3,59,6,8,2,2,5,12,48,13,131,3,brontosaurus
37,52,27,141,113,36,11,21,100,42,17,11,22,29,16,121,16,228,16,chandelier
49,60,31,229,224,35,18,27,67,63,25,12,23,26,27,83,31,173,35,chandelier
25,31,15,87,50,24,6,11,64,20,10,9,11,11,15,77,9,255,5,chandelier
34,48,18,138,134,28,13,21,103,30,10,10,14,26,21,135,17,205,9,chandelier
36,64,19,181,239,24,8,17,81,30,12,16,14,24,11,112,30,229,38,chandelier
36,57,15,46,40,34,9,24,80,43,12,12,13,26,15,127,9,255,9,chandelier
26,40,37,88,98,43,24,17,94,32,25,24,28,18,21,90,24,255,15,chandelier
7,11,7,1,3,10,2,3,59,4,1,3,4,4,1,63,1,130,2,chandelier
36,53,35,117,106,47,22,18,119,33,25,21,28,19,21,116,22,163,17,chandelier
11,16,10,23,58,15,6,6,68,12,5,8,9,10,11,65,8,159,3,chandelier
27,36,18,38,51,30,11,10,132,24,10,13,14,17,20,134,13,255,14,chandelier
25,43,19,148,123,36,17,17,62,28,17,13,21,15,17,73,18,239,18,chandelier
31,39,20,91,75,32,12,24,114,25,11,12,16,19,13,136,15,181,8,chandelier
17,33,21,210,194,35,15,9,80,15,15,14,18,13,15,72,17,225,21,chandelier
12,18,8,10,9,12,4,5,51,8,3,5,7,6,2,55,1,150,2,chandelier
34,39,32,100,94,50,23,22,130,25,27,22,27,24,44,122,44,216,25,chandelier
22,29,15,157,175,26,8,12,74,16,46,7,11,13,35,86,30,166,48,chandelier
5,10,13,186,132,14,8,4,83,5,4,10,8,6,11,51,5,212,2,chandelier
43,65,30,114,135,42,17,28,86,47,23,18,20,23,41,114,31,156,19,chandelier
