@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 30'

@attribute 'Spatial Pyramid of Local Binary Patterns11' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns425' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns47' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns101' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns137' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns29' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns65' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns407' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns119' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns155' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns484' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns208' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns569' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns461' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns173' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns17' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns263' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns605' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns413' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns245' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns631' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns30' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns533' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns125' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,ant
0,0,0,1,0,0,1,0,1,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,ant
1,2,1,1,2,1,2,1,1,1,2,2,3,4,0,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,ant
0,0,0,0,0,0,1,0,1,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,2,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
1,0,1,1,0,1,1,2,1,1,0,1,4,15,0,1,0,1,1,0,0,1,1,0,1,0,3,9,1,1,ant
1,0,0,1,0,0,1,0,1,0,1,0,4,6,0,0,0,0,1,2,0,0,0,0,1,0,3,9,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,ant
0,0,1,0,0,0,1,1,1,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,1,ant
1,1,1,1,1,1,1,1,1,0,1,1,7,1,0,0,1,1,1,0,1,1,1,1,1,1,2,5,1,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
1,0,2,1,0,1,2,1,2,0,1,1,4,10,0,1,0,1,1,1,3,0,0,5,1,1,3,10,0,1,ant
0,0,0,0,0,0,1,0,1,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,ant
1,1,1,1,1,1,1,1,2,1,1,1,6,6,0,0,1,1,1,1,0,2,1,2,1,0,3,4,1,1,ant
0,0,1,0,0,0,1,1,1,0,0,0,9,8,0,0,0,0,0,0,0,0,1,0,1,0,2,10,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
1,1,1,0,1,1,1,1,0,1,1,1,1,2,0,0,1,1,1,1,1,1,0,2,1,0,2,1,1,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,1,0,1,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,0,0,1,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,ant
1,1,1,0,0,1,1,1,1,0,1,0,4,6,0,0,0,0,1,1,1,0,0,1,0,0,3,15,0,1,ant
1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,2,1,1,2,1,1,1,1,1,3,4,1,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,1,0,1,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,ant
0,0,1,0,0,0,1,0,1,0,0,0,3,3,1,0,1,0,0,0,0,0,1,0,0,0,2,14,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,1,0,0,1,0,1,0,1,1,1,0,1,15,0,0,2,0,0,0,0,1,0,0,0,0,2,15,1,1,ant
1,0,1,1,0,1,1,0,1,0,0,1,4,4,0,2,0,1,1,0,0,0,0,0,1,1,3,12,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
1,1,1,1,2,1,1,1,1,2,2,2,3,3,0,1,2,1,1,0,2,1,0,1,1,0,3,3,1,1,ant
1,0,0,1,0,1,1,1,1,0,1,1,2,1,0,0,1,0,1,1,1,2,1,1,1,1,2,2,2,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,ant
0,0,0,0,0,0,1,0,1,1,1,0,7,5,0,0,0,0,0,1,0,0,0,2,0,0,2,15,0,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
1,0,1,1,0,1,2,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,3,15,1,2,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,brontosaurus
1,1,1,1,1,1,1,1,2,0,1,1,7,6,0,1,1,1,1,1,1,1,1,0,1,2,4,6,1,2,brontosaurus
1,0,0,1,0,0,1,0,1,1,0,1,4,4,0,1,1,0,1,0,0,2,0,0,1,1,3,6,1,2,brontosaurus
0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,11,14,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,1,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,1,brontosaurus
0,1,0,0,0,0,1,0,1,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,1,brontosaurus
1,1,0,1,1,1,1,0,1,1,1,1,9,6,0,1,1,1,1,1,0,0,0,0,1,2,3,6,1,1,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
1,2,2,2,2,1,1,1,1,0,1,1,2,3,0,0,1,1,2,0,1,2,1,0,2,2,5,9,1,2,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,1,brontosaurus
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,brontosaurus
0,0,0,0,0,0,1,0,1,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,brontosaurus
1,0,1,0,0,0,1,0,1,0,1,1,7,5,0,1,0,1,1,1,1,0,0,0,1,1,3,8,0,1,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
0,0,0,0,0,0,0,0,1,0,0,0,6,14,0,0,0,0,0,0,1,0,0,0,0,0,1,15,0,1,brontosaurus
2,2,3,2,1,2,1,3,1,1,2,2,4,2,0,2,2,2,1,1,1,1,2,1,1,4,4,4,1,1,brontosaurus
1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,1,0,2,11,1,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
0,0,1,0,0,0,1,0,1,0,0,0,9,11,0,0,0,0,0,0,0,1,1,0,0,0,2,15,1,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,2,0,0,0,0,0,0,1,15,0,0,brontosaurus
1,2,1,1,2,1,1,1,1,1,1,1,8,10,0,2,1,1,1,0,1,2,1,1,1,0,3,7,1,1,brontosaurus
1,0,1,1,0,0,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,1,brontosaurus
0,0,0,0,0,0,0,0,1,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,brontosaurus
1,0,1,1,0,1,1,1,1,2,1,1,1,2,0,1,0,0,1,0,1,1,1,0,1,0,2,3,1,1,brontosaurus
1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,0,0,2,0,0,1,0,3,9,1,1,brontosaurus
1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,2,1,1,1,0,1,1,2,1,1,2,3,2,1,1,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,14,1,1,brontosaurus
1,0,1,1,0,0,1,0,1,0,1,1,4,6,0,1,0,0,1,1,1,0,0,0,1,0,3,7,1,1,brontosaurus
2,2,2,2,2,2,1,3,1,2,2,2,3,3,0,2,3,2,3,2,2,3,3,0,3,3,5,5,3,1,brontosaurus
0,0,0,0,1,0,2,0,1,0,1,0,14,9,0,0,1,0,0,0,0,0,0,0,0,0,2,13,1,1,brontosaurus
1,1,1,0,1,0,1,0,1,0,0,2,4,6,0,1,1,1,1,0,1,1,0,0,0,1,2,10,2,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,chandelier
0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,1,0,0,0,0,1,15,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
1,1,0,1,0,0,1,0,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,3,7,0,1,chandelier
0,1,0,0,1,0,1,0,1,0,0,0,7,5,0,1,0,0,0,1,0,0,0,0,0,0,2,8,0,1,chandelier
0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,chandelier
0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,1,chandelier
1,2,0,1,1,1,2,0,2,2,2,1,6,5,0,1,1,1,1,2,2,1,0,0,0,1,3,7,1,1,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,chandelier
0,0,0,0,0,0,0,0,1,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,1,0,2,10,1,1,chandelier
0,1,0,0,0,0,1,1,1,0,0,0,7,9,0,1,0,0,0,0,0,0,0,0,0,1,2,15,0,1,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,chandelier
0,0,0,0,0,0,1,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
1,2,1,1,1,1,1,1,1,1,0,1,4,5,0,1,1,1,1,0,1,2,1,0,1,1,3,4,0,1,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,1,0,0,1,1,0,0,0,0,2,12,0,1,chandelier
0,0,0,1,0,1,1,1,1,0,0,0,8,6,0,0,0,0,1,1,0,0,1,0,1,1,3,6,0,2,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,5,7,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,1,chandelier
0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,chandelier
1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,11,0,1,chandelier
0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,chandelier
