@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 43'

@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns40' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns755' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns124' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns6' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns52' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns10' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns592' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns14' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns119' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns507' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns86' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns179' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns107' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns731' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns395' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns11' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns116' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns613' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns358' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns47' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns155' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns584' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns571' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns44' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns217' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns407' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns148' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns72' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns569' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
2,3,1,1,15,1,0,0,0,1,7,0,0,3,0,0,0,0,1,0,15,15,0,0,1,1,0,15,0,1,3,10,3,0,0,2,1,2,15,0,1,8,0,ant
1,3,1,0,15,1,0,0,0,1,6,0,0,3,0,0,0,0,1,0,15,15,0,0,1,0,0,10,0,0,1,7,6,0,0,0,0,4,15,0,1,7,0,ant
2,3,1,0,5,3,0,0,0,1,4,0,0,3,0,0,0,0,0,0,6,8,0,0,2,0,0,5,0,0,4,5,3,0,0,0,0,3,15,0,1,4,0,ant
2,5,2,0,7,3,0,0,0,2,6,0,0,6,0,1,0,0,1,0,7,6,0,0,2,0,0,12,0,0,5,5,9,0,0,3,0,4,14,0,2,5,0,ant
2,3,3,2,12,2,1,1,1,4,10,1,1,3,1,3,1,1,3,1,13,12,3,3,3,3,1,12,1,3,3,15,15,0,1,1,3,4,15,0,2,10,1,ant
3,5,2,1,15,3,1,1,1,2,9,1,0,4,0,4,1,0,1,0,14,12,2,1,3,2,0,7,0,1,5,11,12,0,0,6,1,6,15,0,3,9,0,ant
1,4,2,0,10,2,0,0,0,2,7,0,0,2,0,0,0,0,0,0,11,15,0,0,1,0,0,10,0,0,4,6,9,0,0,0,1,5,14,0,1,8,0,ant
1,5,1,0,3,1,0,0,0,1,4,0,0,2,0,1,0,0,0,0,6,6,0,0,1,0,0,8,0,0,4,8,15,0,0,3,0,5,15,0,1,4,0,ant
2,3,2,1,6,1,1,0,0,2,8,1,0,2,0,0,0,0,1,0,11,8,1,0,2,1,0,11,0,2,4,15,8,0,0,0,2,2,15,0,3,9,0,ant
3,3,3,1,15,2,0,1,1,2,8,1,0,4,0,0,0,0,2,0,13,15,1,1,2,2,0,10,0,1,2,9,5,0,0,2,1,3,15,0,3,11,0,ant
2,6,1,0,5,3,0,0,0,2,4,0,0,4,0,4,0,0,0,0,6,2,0,1,2,2,0,5,0,1,5,15,14,0,0,6,1,8,14,0,2,1,0,ant
2,7,2,0,15,4,0,0,0,2,5,0,0,3,0,6,0,0,0,0,11,7,0,1,3,0,0,6,0,1,6,8,11,0,0,9,0,6,10,0,2,4,0,ant
2,5,2,0,9,1,0,0,0,3,7,0,0,2,0,3,0,0,0,0,8,6,0,0,3,0,0,6,0,0,3,15,7,0,0,5,0,4,8,0,3,6,0,ant
2,3,2,3,10,3,1,1,1,4,7,1,1,2,1,3,1,1,2,1,12,14,3,4,4,3,1,13,1,2,3,13,15,1,1,3,1,2,9,1,3,7,1,ant
1,4,1,0,9,5,0,0,0,4,6,0,0,3,0,2,0,0,1,0,8,7,0,0,5,0,0,6,0,0,5,9,15,0,0,2,1,5,11,0,2,7,0,ant
2,4,2,2,6,3,0,1,0,3,7,1,0,2,1,3,0,0,2,1,7,10,1,1,3,2,0,12,0,2,5,1,12,0,0,6,1,3,10,0,2,9,0,ant
2,4,2,1,9,3,0,0,1,2,8,1,0,5,0,3,0,0,1,0,11,8,0,0,2,1,0,12,0,1,5,15,9,0,0,4,0,4,15,0,2,7,0,ant
1,3,1,0,2,1,0,0,0,1,5,0,0,1,0,1,0,0,0,0,7,7,0,0,1,1,0,11,0,1,3,15,4,0,0,4,0,1,15,0,1,4,0,ant
