@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 19'

@attribute 'Histogram of JPEG Coefficients57' numeric
@attribute 'Histogram of JPEG Coefficients45' numeric
@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients58' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients31' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients23' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
23,6,21,18,153,23,36,21,28,10,22,45,18,19,11,4,16,27,92,ant
8,5,7,10,139,8,14,11,13,5,16,17,9,6,5,3,5,14,55,ant
4,5,28,124,255,6,59,108,12,14,34,16,29,16,23,14,43,43,153,ant
49,12,42,102,255,34,78,86,62,14,32,61,32,30,17,27,78,50,126,ant
80,38,55,27,24,101,45,29,87,0,0,88,0,0,0,0,61,0,33,ant
100,56,43,84,210,108,67,101,116,15,31,85,30,24,15,13,64,45,100,ant
20,13,27,95,255,27,58,61,27,29,55,39,27,32,21,22,30,53,92,ant
4,1,24,212,188,4,34,138,7,22,35,6,41,25,26,42,53,45,49,ant
43,34,11,130,79,75,27,167,86,8,12,71,11,9,8,20,80,27,66,ant
39,34,28,60,196,57,23,77,64,0,0,62,0,0,0,0,39,0,50,ant
22,15,47,149,213,21,76,89,31,16,22,40,28,23,13,7,37,28,95,ant
13,17,20,40,237,19,38,19,22,21,36,29,19,24,22,9,20,34,85,ant
168,37,21,93,255,137,39,100,126,11,22,136,24,22,14,8,121,34,80,ant
18,4,12,10,133,12,10,12,13,0,0,12,0,0,0,0,15,0,44,ant
21,7,14,79,187,15,33,64,25,6,26,41,18,13,15,20,46,45,85,ant
13,7,14,21,137,10,30,18,23,6,9,24,10,8,6,15,22,21,65,ant
145,12,60,132,56,88,74,158,55,10,28,80,28,21,13,45,186,50,117,ant
18,3,40,68,255,12,56,49,21,16,26,36,25,21,22,6,18,37,139,ant
