@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 30'

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns139' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns103' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns175' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns471' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns21' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns468' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns541' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns75' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns363' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,1,1,0,9,1,11,1,3,1,2,3,1,7,2,0,0,9,0,1,1,1,1,0,8,13,1,0,3,1,ant
2,1,0,1,10,1,8,0,0,1,2,0,2,15,1,2,1,10,1,2,2,1,1,1,10,7,3,1,1,1,ant
0,0,0,0,2,0,2,0,0,0,1,0,0,15,0,0,0,3,0,0,0,0,0,0,8,6,0,0,0,0,ant
1,1,1,1,7,1,7,1,1,0,1,1,1,15,1,1,0,7,0,1,2,2,0,1,4,15,1,0,0,3,ant
3,4,3,5,13,4,12,3,2,1,2,3,3,3,1,4,2,12,2,4,3,4,3,2,9,14,3,2,2,4,ant
2,2,2,2,12,2,11,3,1,1,1,1,1,15,0,2,1,11,2,2,1,2,1,2,7,13,2,2,1,1,ant
1,1,1,0,7,1,4,1,0,0,1,0,2,0,1,0,0,5,0,0,1,0,0,0,0,8,1,0,0,2,ant
0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,ant
3,3,3,5,14,4,15,2,2,1,0,1,4,8,0,2,1,14,2,2,3,3,0,2,8,13,3,1,1,3,ant
3,3,2,4,11,3,10,3,3,1,2,2,3,15,2,1,1,12,2,2,3,2,0,2,8,15,3,1,2,3,ant
0,0,3,1,13,1,7,1,1,0,1,0,0,15,0,1,0,3,0,1,0,0,0,0,0,9,0,1,0,0,ant
1,1,1,1,6,1,3,1,1,0,0,1,0,15,0,0,0,4,0,0,1,0,0,0,5,3,0,0,0,0,ant
2,2,2,1,10,2,11,2,2,1,1,2,1,15,1,3,1,10,1,2,1,2,1,1,10,15,2,1,1,1,ant
2,2,2,2,6,2,7,2,1,1,1,1,2,7,1,2,1,5,1,3,3,3,5,1,5,12,2,1,1,3,ant
0,0,0,0,2,0,3,0,0,0,0,1,0,10,0,0,0,2,0,1,0,1,0,0,0,3,0,0,0,0,ant
3,3,5,2,0,3,9,3,2,2,5,1,3,15,1,4,2,10,2,5,3,3,1,2,1,15,3,1,1,3,ant
1,1,1,1,11,1,8,1,2,1,1,2,1,15,2,1,1,9,1,1,2,1,1,1,8,13,1,1,2,1,ant
1,1,1,1,5,1,11,1,3,0,0,1,0,15,0,1,0,8,0,1,1,1,0,1,0,15,0,0,1,0,ant
