@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 43'

@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns44' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns152' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns80' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns116' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns584' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns412' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns40' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns505' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns27' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns504' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns556' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns440' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns647' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns124' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns548' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns340' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns76' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns368' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns404' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns106' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns332' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns35' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns110' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns544' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns688' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns52' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns484' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns448' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns376' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns146' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns171' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns592' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns431' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns99' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
3,2,2,2,4,1,3,12,2,3,1,14,1,8,1,2,15,1,3,0,1,2,2,5,7,4,6,1,0,15,2,1,2,1,2,1,1,1,3,1,0,15,2,ant
3,4,1,1,2,1,1,5,0,5,1,15,1,10,0,1,15,1,4,1,0,1,4,8,5,3,5,0,4,15,0,1,0,1,0,2,2,0,3,1,0,8,1,ant
3,3,1,2,5,2,4,4,0,5,1,15,2,6,0,3,5,3,1,0,0,1,3,10,6,2,15,0,1,8,2,1,1,1,1,3,2,1,3,1,0,7,3,ant
5,4,4,2,5,2,5,5,3,5,2,15,3,9,1,5,4,3,3,1,2,1,5,9,7,3,15,0,3,8,4,1,2,2,1,2,2,3,6,3,1,8,2,ant
3,4,3,2,3,3,3,14,1,3,3,15,4,11,2,2,13,2,2,3,3,3,5,3,11,4,15,2,3,13,3,2,2,4,3,2,4,4,3,3,3,15,3,ant
5,6,5,3,5,3,5,10,6,4,2,15,4,7,3,6,15,3,5,3,4,2,6,6,11,5,13,1,7,13,4,3,2,2,2,2,3,4,4,4,4,12,3,ant
4,5,5,1,3,1,4,6,0,3,2,15,2,9,2,4,15,2,5,0,1,1,6,7,9,0,6,0,0,12,2,2,0,2,0,1,3,1,2,2,0,9,1,ant
5,5,4,1,5,1,4,4,3,2,1,15,1,5,1,3,4,1,6,0,1,1,8,5,5,4,15,0,3,7,1,1,1,1,0,0,1,1,2,1,1,5,1,ant
3,2,4,2,3,2,4,11,0,2,2,15,3,10,3,2,5,1,5,1,2,2,3,5,9,0,10,1,1,9,2,3,3,2,0,2,3,3,2,3,0,11,3,ant
3,3,4,3,3,2,2,10,2,3,3,15,3,12,2,2,15,2,4,2,2,2,4,4,9,2,15,1,2,12,3,1,3,2,0,2,3,3,4,3,0,8,3,ant
6,8,6,2,6,2,5,7,6,3,1,9,2,1,2,5,1,3,7,3,2,1,7,4,11,3,13,0,8,5,3,3,1,2,1,2,3,2,4,3,4,10,1,ant
7,6,8,2,6,3,6,2,9,4,2,15,2,4,5,7,15,4,8,2,4,2,8,8,5,5,10,0,3,10,3,2,3,2,3,6,3,1,3,2,6,8,2,ant
5,4,5,2,6,3,3,7,5,2,2,15,3,8,3,4,4,1,5,2,3,2,6,4,9,4,12,0,1,7,2,3,1,3,1,2,3,3,2,4,3,6,3,ant
3,2,3,2,3,4,3,7,3,3,2,15,4,7,3,1,12,3,3,3,3,3,2,3,7,4,15,3,2,14,3,2,4,4,2,2,2,3,2,3,3,15,4,ant
4,5,4,1,4,5,5,6,2,5,1,15,2,6,1,3,9,5,6,1,5,2,9,8,6,2,15,0,3,7,2,2,2,4,0,1,3,2,3,2,2,7,3,ant
4,3,4,2,5,3,5,6,6,5,2,15,3,10,3,0,13,3,4,3,3,3,3,3,3,14,15,2,2,9,2,3,1,3,2,0,2,2,2,2,3,5,3,ant
4,4,4,2,4,2,5,7,4,3,2,15,3,8,3,4,4,3,7,2,2,2,4,7,10,4,13,1,4,10,3,3,2,2,3,2,4,3,5,3,3,11,3,ant
3,1,5,1,2,1,3,7,4,1,1,15,1,7,1,2,6,1,8,0,1,1,5,4,8,0,7,0,0,8,1,1,1,1,0,0,0,2,1,1,1,6,1,ant
3,3,3,2,3,3,2,12,2,2,2,12,4,7,4,2,15,3,4,0,3,2,4,2,11,2,15,3,2,15,3,3,2,2,1,3,2,4,3,4,3,13,4,ant
3,3,4,3,3,3,3,9,3,2,3,15,3,8,3,2,15,3,6,3,3,2,3,3,6,1,14,1,2,12,3,4,2,3,1,2,2,3,3,3,2,9,3,ant
