@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 19'

@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients32' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients56' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients101' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients120' numeric
@attribute 'Histogram of JPEG Coefficients102' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
21,153,19,22,11,18,18,27,23,25,75,16,12,13,19,10,19,18,3,ant
11,139,6,16,5,9,10,14,9,7,58,5,8,5,6,5,16,6,3,ant
108,255,72,34,23,29,124,43,6,31,163,43,20,13,16,14,75,21,14,ant
86,255,58,32,17,32,102,50,90,45,99,78,21,16,30,14,93,38,22,ant
29,24,61,0,0,0,27,0,70,62,36,61,0,0,0,0,0,0,1,ant
101,210,82,31,15,30,84,45,61,48,86,64,19,14,24,15,67,29,6,ant
61,255,30,55,21,27,95,53,57,19,153,30,31,20,32,29,93,43,19,ant
138,188,79,35,26,41,212,45,7,17,70,53,22,15,25,22,165,32,29,ant
167,79,135,12,8,11,130,27,25,8,63,80,8,6,9,8,54,12,15,ant
77,196,72,0,0,0,60,0,41,25,36,39,0,0,0,0,0,0,0,ant
89,213,61,22,13,28,149,28,33,59,48,37,13,12,23,16,31,34,14,ant
19,237,16,36,22,19,40,34,15,19,100,20,19,15,24,21,41,23,5,ant
100,255,116,22,14,24,93,34,176,19,91,121,11,8,22,11,39,23,12,ant
12,133,14,0,0,0,10,0,13,13,36,15,0,0,0,0,0,0,0,ant
64,187,68,26,15,18,79,45,137,13,106,46,13,8,13,6,117,20,57,ant
18,137,36,9,6,10,21,21,23,15,56,22,7,5,8,6,17,8,7,ant
158,56,156,28,13,28,132,50,193,61,88,186,17,11,21,10,152,19,59,ant
49,255,24,26,22,25,68,37,31,24,104,18,15,12,21,16,45,22,14,ant
21,131,22,0,0,0,13,0,28,29,36,14,0,0,0,0,0,0,0,ant
102,169,100,22,12,22,69,37,134,27,59,110,12,13,23,17,50,27,21,ant
106,255,71,15,11,13,169,18,45,18,89,44,13,5,6,9,115,11,20,ant
12,132,23,0,0,0,11,0,15,23,36,10,0,0,0,0,0,0,1,ant
105,255,84,32,15,21,128,37,21,47,68,43,20,11,17,10,51,21,12,ant
67,255,49,31,26,25,116,46,73,44,98,49,27,16,26,20,82,29,10,ant
117,255,46,7,4,5,151,7,21,4,60,24,4,1,1,2,27,2,9,ant
39,108,34,13,9,10,42,22,24,15,71,22,9,7,9,6,27,14,3,ant
139,202,118,0,0,0,98,0,78,28,36,46,0,0,0,0,0,0,0,ant
15,14,24,52,29,54,19,37,25,34,34,20,18,51,106,79,47,82,11,ant
235,198,204,37,16,34,211,48,46,23,76,140,23,16,29,15,98,39,20,ant
94,255,88,31,11,25,118,40,43,57,39,82,15,12,21,13,17,25,2,ant
15,155,14,9,4,7,17,16,23,19,57,11,4,3,10,4,13,10,3,ant
127,157,108,26,19,31,154,41,8,23,68,71,17,11,26,17,90,28,38,ant
12,145,13,7,2,4,17,13,13,12,59,8,4,3,3,2,8,7,2,ant
153,83,151,0,0,0,117,0,53,84,36,184,0,0,0,0,0,0,0,ant
25,197,25,17,9,10,37,21,26,15,67,16,8,8,12,9,22,13,5,ant
22,176,19,15,6,10,22,16,53,9,60,23,10,5,7,4,11,11,2,ant
7,24,9,0,0,0,3,0,28,76,36,10,0,0,0,0,0,0,0,ant
11,135,17,10,6,7,8,15,7,12,53,11,7,7,16,11,11,11,2,ant
74,255,56,23,10,21,148,34,9,31,37,30,10,11,22,14,29,29,13,ant
105,76,67,29,26,29,107,50,4,46,77,69,31,19,23,31,121,26,19,ant
129,185,98,33,33,27,147,48,15,23,116,61,25,12,19,15,170,23,34,ant
91,255,52,28,21,32,93,50,26,27,167,35,19,11,26,20,52,21,18,ant
17,154,14,3,2,2,18,6,6,3,50,7,2,0,1,1,6,1,2,brontosaurus
6,143,8,6,4,6,9,9,14,9,58,6,3,3,5,2,7,5,2,brontosaurus
36,136,31,8,3,3,33,9,19,5,55,24,3,2,5,2,43,5,7,brontosaurus
188,182,186,20,9,19,223,35,142,18,61,185,8,12,18,11,70,23,34,brontosaurus
185,172,177,49,32,42,178,56,112,50,105,133,24,23,46,27,131,44,22,brontosaurus
8,21,6,26,11,27,5,38,30,17,65,7,11,15,24,21,25,32,8,brontosaurus
69,29,73,36,17,27,77,43,84,47,59,78,13,15,34,16,54,32,9,brontosaurus
112,232,83,31,22,34,97,43,70,32,127,72,20,10,20,18,74,32,12,brontosaurus
42,175,44,13,7,14,41,18,33,13,67,41,9,7,9,7,40,10,8,brontosaurus
254,96,255,23,20,27,212,37,146,39,77,218,17,13,14,20,149,28,37,brontosaurus
12,136,13,12,6,11,11,13,6,12,59,8,8,5,11,9,14,11,2,brontosaurus
33,61,43,25,11,24,28,37,105,57,69,37,10,11,17,15,27,25,4,brontosaurus
95,86,112,31,18,31,103,43,154,42,70,118,19,14,25,19,115,44,20,brontosaurus
167,214,184,36,23,32,206,54,153,39,74,163,24,21,35,27,91,49,14,brontosaurus
4,150,4,0,0,0,5,0,3,6,36,2,0,0,0,0,0,0,0,brontosaurus
255,125,198,26,14,20,240,29,92,21,76,170,18,8,18,11,255,13,61,brontosaurus
21,149,29,25,10,15,14,36,37,28,72,27,10,8,26,16,20,20,12,brontosaurus
211,102,141,28,20,27,255,35,53,51,88,97,22,11,20,18,186,27,46,brontosaurus
10,152,13,6,3,5,14,8,9,9,50,8,3,3,7,3,5,7,1,brontosaurus
151,131,84,27,17,21,181,43,106,32,63,101,14,15,21,18,135,28,46,brontosaurus
222,158,164,24,24,20,199,33,166,33,77,255,21,3,15,22,194,18,61,brontosaurus
126,255,114,22,19,30,141,47,144,30,79,77,17,12,30,17,73,28,23,brontosaurus
202,240,178,29,19,35,191,33,71,27,59,144,16,15,36,27,89,27,30,brontosaurus
49,149,40,8,9,10,49,14,45,9,56,43,6,8,12,8,43,15,15,brontosaurus
211,127,130,19,11,16,251,23,34,13,73,92,10,6,12,8,87,17,24,brontosaurus
