@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 61'

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns139' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns103' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns175' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns471' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns21' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns468' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns541' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns75' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns363' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns67' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns535' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns431' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns391' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns32' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns571' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns359' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns324' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns503' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns401' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns327' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns6' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns355' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns24' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns397' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns332' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns134' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns411' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns507' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns360' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns108' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns404' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns117' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns14' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns402' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns545' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns403' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns504' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns7' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,1,1,0,9,1,11,1,3,1,2,3,1,7,2,0,0,9,0,1,1,1,1,0,8,13,1,0,3,1,1,1,15,0,1,3,15,0,8,15,4,1,1,1,0,11,4,0,0,2,8,10,6,5,3,1,2,5,1,10,1,ant
2,1,0,1,10,1,8,0,0,1,2,0,2,15,1,2,1,10,1,2,2,1,1,1,10,7,3,1,1,1,1,2,6,0,1,1,10,1,10,2,2,1,2,0,0,10,15,1,0,4,8,10,15,12,3,1,1,2,0,10,2,ant
0,0,0,0,2,0,2,0,0,0,1,0,0,15,0,0,0,3,0,0,0,0,0,0,8,6,0,0,0,0,0,0,2,0,0,0,4,0,4,8,0,2,0,0,0,4,15,1,0,0,5,5,15,9,0,0,1,0,0,3,0,ant
1,1,1,1,7,1,7,1,1,0,1,1,1,15,1,1,0,7,0,1,2,2,0,1,4,15,1,0,0,3,1,3,10,1,1,1,1,0,2,3,2,0,1,0,0,11,15,0,0,4,10,6,15,10,0,0,1,2,0,15,1,ant
3,4,3,5,13,4,12,3,2,1,2,3,3,3,1,4,2,12,2,4,3,4,3,2,9,14,3,2,2,4,4,3,15,4,3,4,11,1,8,15,3,3,2,3,1,15,4,2,2,4,9,12,2,3,2,1,2,3,1,11,2,ant
2,2,2,2,12,2,11,3,1,1,1,1,1,15,0,2,1,11,2,2,1,2,1,2,7,13,2,2,1,1,0,1,12,1,2,2,3,2,3,5,3,0,1,0,2,13,15,2,2,2,8,12,9,14,1,2,1,2,2,8,2,ant
1,1,1,0,7,1,4,1,0,0,1,0,2,0,1,0,0,5,0,0,1,0,0,0,0,8,1,0,0,2,1,2,7,2,1,1,0,0,0,0,1,0,0,0,0,11,0,1,0,1,11,6,15,0,0,1,1,1,1,12,0,ant
0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,1,2,15,3,0,0,0,0,0,3,0,ant
3,3,3,5,14,4,15,2,2,1,0,1,4,8,0,2,1,14,2,2,3,3,0,2,8,13,3,1,1,3,4,4,15,4,4,2,9,1,9,8,4,3,2,2,1,15,15,1,1,3,15,13,8,4,1,2,2,3,1,14,2,ant
3,3,2,4,11,3,10,3,3,1,2,2,3,15,2,1,1,12,2,2,3,2,0,2,8,15,3,1,2,3,4,3,8,4,3,2,7,1,11,0,3,4,2,4,1,15,12,3,1,3,13,12,6,4,1,1,3,3,2,15,2,ant
0,0,3,1,13,1,7,1,1,0,1,0,0,15,0,1,0,3,0,1,0,0,0,0,0,9,0,1,0,0,0,0,10,0,1,0,0,0,0,0,3,0,0,0,0,15,15,1,1,0,3,7,7,5,1,0,2,2,2,0,0,ant
1,1,1,1,6,1,3,1,1,0,0,1,0,15,0,0,0,4,0,0,1,0,0,0,5,3,0,0,0,0,1,0,8,1,1,0,8,0,12,6,1,2,0,3,0,10,12,1,0,0,4,5,15,8,0,0,0,0,1,2,0,ant
2,2,2,1,10,2,11,2,2,1,1,2,1,15,1,3,1,10,1,2,1,2,1,1,10,15,2,1,1,1,2,1,9,2,2,2,9,1,11,9,2,2,1,2,1,14,8,1,1,3,10,10,15,11,1,2,2,2,1,11,1,ant
2,2,2,2,6,2,7,2,1,1,1,1,2,7,1,2,1,5,1,3,3,3,5,1,5,12,2,1,1,3,2,1,15,2,2,2,15,0,3,15,1,2,1,2,1,11,3,2,0,2,6,5,4,7,1,1,1,2,1,6,1,ant
0,0,0,0,2,0,3,0,0,0,0,1,0,10,0,0,0,2,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,1,2,15,3,0,0,0,0,1,2,0,ant
3,3,5,2,0,3,9,3,2,2,5,1,3,15,1,4,2,10,2,5,3,3,1,2,1,15,3,1,1,3,3,4,5,4,3,2,11,1,10,5,2,3,2,3,1,15,10,2,0,3,13,3,10,4,1,1,2,3,0,13,2,ant
1,1,1,1,11,1,8,1,2,1,1,2,1,15,2,1,1,9,1,1,2,1,1,1,8,13,1,1,2,1,1,1,13,1,2,0,12,1,10,8,2,2,1,2,1,15,14,1,1,2,9,9,10,11,1,1,2,1,2,11,1,ant
