@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 86'

@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns44' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns152' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns80' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns116' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns584' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns412' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns40' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns505' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns27' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns504' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns556' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns440' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns647' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns124' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns548' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns340' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns76' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns368' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns404' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns106' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns332' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns35' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns110' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns544' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns688' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns52' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns484' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns448' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns376' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns146' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns171' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns592' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns431' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns99' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns506' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns328' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns2' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns364' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns179' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns395' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns398' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns358' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns6' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns63' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns362' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns520' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns34' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns511' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns148' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns507' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns503' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns434' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns135' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns423' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns578' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns571' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns575' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns107' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns224' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns567' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns143' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns144' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns508' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns502' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns512' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns214' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns215' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
3,2,2,2,4,1,3,12,2,3,1,14,1,8,1,2,15,1,3,0,1,2,2,5,7,4,6,1,0,15,2,1,2,1,2,1,1,1,3,1,0,15,2,2,0,2,2,15,15,4,3,0,1,1,1,5,2,1,1,14,1,0,1,1,2,0,1,7,1,15,15,1,2,0,3,0,2,15,8,1,3,6,5,0,1,15,ant
3,4,1,1,2,1,1,5,0,5,1,15,1,10,0,1,15,1,4,1,0,1,4,8,5,3,5,0,4,15,0,1,0,1,0,2,2,0,3,1,0,8,1,3,1,2,2,15,10,5,6,0,2,3,3,4,1,1,1,15,0,0,1,0,1,0,0,6,0,5,15,0,5,0,0,0,3,15,3,1,2,1,4,8,0,15,ant
3,3,1,2,5,2,4,4,0,5,1,15,2,6,0,3,5,3,1,0,0,1,3,10,6,2,15,0,1,8,2,1,1,1,1,3,2,1,3,1,0,7,3,2,1,2,2,6,5,3,3,0,2,2,8,12,3,1,0,6,0,0,2,2,5,0,0,4,0,4,8,0,6,0,1,0,1,11,3,0,3,8,14,4,0,5,ant
5,4,4,2,5,2,5,5,3,5,2,15,3,9,1,5,4,3,3,1,2,1,5,9,7,3,15,0,3,8,4,1,2,2,1,2,2,3,6,3,1,8,2,2,1,3,2,7,12,7,9,0,2,3,3,15,1,2,1,4,0,0,3,4,4,0,2,6,0,4,6,0,4,0,1,0,3,8,6,0,2,7,4,13,1,7,ant
3,4,3,2,3,3,3,14,1,3,3,15,4,11,2,2,13,2,2,3,3,3,5,3,11,4,15,2,3,13,3,2,2,4,3,2,4,4,3,3,3,15,3,4,3,4,3,13,12,4,15,1,4,3,3,15,1,2,3,12,3,1,4,4,5,1,4,10,3,13,12,3,4,3,2,3,3,14,11,3,3,15,2,15,2,12,ant
5,6,5,3,5,3,5,10,6,4,2,15,4,7,3,6,15,3,5,3,4,2,6,6,11,5,13,1,7,13,4,3,2,2,2,2,3,4,4,4,4,12,3,4,2,3,3,14,7,5,12,1,2,3,3,15,2,3,1,6,2,1,3,4,4,1,4,9,1,12,12,1,4,2,1,1,4,13,10,2,3,11,6,11,0,15,ant
4,5,5,1,3,1,4,6,0,3,2,15,2,9,2,4,15,2,5,0,1,1,6,7,9,0,6,0,0,12,2,2,0,2,0,1,3,1,2,2,0,9,1,2,0,2,2,11,10,3,9,0,2,2,1,13,1,1,0,15,0,0,1,3,4,0,0,7,1,10,15,0,5,0,0,0,3,12,6,0,2,1,5,3,1,15,ant
5,5,4,1,5,1,4,4,3,2,1,15,1,5,1,3,4,1,6,0,1,1,8,5,5,4,15,0,3,7,1,1,1,1,0,0,1,1,2,1,1,5,1,1,0,1,1,6,8,1,15,0,1,2,2,14,0,1,0,6,0,0,1,1,2,0,0,4,0,5,6,0,3,0,0,0,1,5,3,0,1,15,6,2,0,15,ant
3,2,4,2,3,2,4,11,0,2,2,15,3,10,3,2,5,1,5,1,2,2,3,5,9,0,10,1,1,9,2,3,3,2,0,2,3,3,2,3,0,11,3,4,0,3,3,11,11,2,8,1,3,3,5,13,2,3,1,3,1,0,0,3,4,0,0,8,2,11,8,2,3,1,0,0,4,8,7,1,2,6,4,6,1,6,ant
3,3,4,3,3,2,2,10,2,3,3,15,3,12,2,2,15,2,4,2,2,2,4,4,9,2,15,1,2,12,3,1,3,2,0,2,3,3,4,3,0,8,3,3,3,3,4,13,10,4,5,0,3,5,1,11,1,3,2,15,2,1,2,2,4,1,2,8,1,9,15,1,3,1,1,1,3,12,9,1,2,10,1,3,1,8,ant
6,8,6,2,6,2,5,7,6,3,1,9,2,1,2,5,1,3,7,3,2,1,7,4,11,3,13,0,8,5,3,3,1,2,1,2,3,2,4,3,4,10,1,0,1,2,3,6,5,4,14,0,2,2,1,15,0,2,0,1,2,0,2,3,3,0,4,4,1,7,2,1,5,0,1,1,4,7,5,1,0,6,5,15,0,1,ant
7,6,8,2,6,3,6,2,9,4,2,15,2,4,5,7,15,4,8,2,4,2,8,8,5,5,10,0,3,10,3,2,3,2,3,6,3,1,3,2,6,8,2,2,2,3,3,11,6,3,11,0,2,4,3,13,1,2,0,8,0,0,4,3,2,0,1,5,0,3,7,1,5,0,1,1,1,12,3,0,2,15,8,2,1,15,ant
5,4,5,2,6,3,3,7,5,2,2,15,3,8,3,4,4,1,5,2,3,2,6,4,9,4,12,0,1,7,2,3,1,3,1,2,3,3,2,4,3,6,3,5,1,3,3,8,6,1,7,0,3,4,6,12,1,3,0,5,0,0,3,3,3,0,4,7,0,10,6,0,0,0,1,0,3,7,7,0,5,10,6,15,1,6,ant
3,2,3,2,3,4,3,7,3,3,2,15,4,7,3,1,12,3,3,3,3,3,2,3,7,4,15,3,2,14,3,2,4,4,2,2,2,3,2,3,3,15,4,4,1,3,2,12,13,3,15,1,3,3,4,15,2,3,2,13,3,1,3,3,3,1,4,7,1,14,14,2,2,3,4,4,3,15,7,4,4,10,3,15,3,12,ant
4,5,4,1,4,5,5,6,2,5,1,15,2,6,1,3,9,5,6,1,5,2,9,8,6,2,15,0,3,7,2,2,2,4,0,1,3,2,3,2,2,7,3,4,0,2,2,8,6,4,15,0,2,3,3,15,1,2,1,9,0,0,2,3,4,0,3,6,1,6,7,0,4,0,1,0,2,6,6,0,2,15,6,15,0,7,ant
4,3,4,2,5,3,5,6,6,5,2,15,3,10,3,0,13,3,4,3,3,3,3,3,3,14,15,2,2,9,2,3,1,3,2,0,2,2,2,2,3,5,3,3,2,3,2,7,12,2,12,0,3,3,3,15,1,2,2,4,2,0,0,4,4,1,2,7,1,7,10,2,4,1,2,1,2,7,5,0,2,15,4,15,2,8,ant
