@relation datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original

@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns176' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns485' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,1,2,0,3,ant
2,0,2,0,0,ant
0,0,1,0,0,ant
2,2,1,0,1,ant
3,3,2,1,2,ant
1,2,1,0,1,ant
1,0,1,0,0,ant
0,0,0,0,0,ant
3,5,0,0,2,ant
3,2,2,0,3,ant
0,1,1,0,1,ant
1,0,0,0,1,ant
1,2,1,1,2,ant
3,2,1,1,1,ant
0,1,0,0,0,ant
3,5,5,0,2,ant
2,1,1,0,2,ant
1,0,0,0,3,ant
3,4,1,2,2,ant
3,2,2,0,2,ant
0,1,0,0,0,ant
3,3,1,1,1,ant
0,0,0,0,0,ant
0,1,1,0,0,ant
0,0,0,0,0,ant
0,1,0,0,1,ant
3,3,1,1,0,ant
4,4,1,0,1,ant
0,1,2,0,0,ant
2,1,1,1,0,ant
2,1,1,0,0,ant
1,0,0,0,0,ant
0,1,1,0,1,ant
3,3,1,0,2,ant
1,1,0,1,2,ant
15,0,0,0,0,ant
4,3,1,1,2,ant
2,1,1,2,0,ant
0,0,0,0,0,ant
0,0,4,0,0,ant
0,0,2,0,0,ant
2,0,0,1,2,ant
0,0,0,0,0,brontosaurus
3,3,1,0,1,brontosaurus
0,0,1,0,0,brontosaurus
0,1,1,0,1,brontosaurus
1,0,1,0,2,brontosaurus
3,3,2,1,2,brontosaurus
2,3,2,1,1,brontosaurus
2,0,1,1,1,brontosaurus
0,1,1,0,1,brontosaurus
1,3,2,0,1,brontosaurus
2,2,1,0,0,brontosaurus
3,3,2,1,2,brontosaurus
1,3,2,0,1,brontosaurus
1,2,0,0,1,brontosaurus
0,1,0,0,0,brontosaurus
0,1,1,0,2,brontosaurus
4,4,2,1,1,brontosaurus
0,0,0,0,0,brontosaurus
2,2,1,0,0,brontosaurus
0,0,1,0,1,brontosaurus
0,1,2,0,1,brontosaurus
1,3,0,0,1,brontosaurus
