@relation datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns20' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns509' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns613' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,3,0,3,10,ant
0,3,0,2,7,ant
0,3,0,2,5,ant
0,5,0,2,5,ant
2,3,1,3,15,ant
1,5,0,2,11,ant
0,4,0,2,6,ant
0,5,0,2,8,ant
1,3,0,1,15,ant
1,3,0,3,9,ant
0,6,0,0,15,ant
0,7,0,1,8,ant
0,5,0,1,15,ant
3,3,0,4,13,ant
0,4,0,2,9,ant
2,4,0,1,1,ant
1,4,0,3,15,ant
0,3,0,1,15,ant
3,3,1,2,10,ant
1,3,0,3,5,ant
0,5,0,3,15,ant
3,2,1,4,8,ant
0,6,0,1,15,ant
0,5,0,1,15,ant
0,5,0,1,11,ant
0,8,0,2,15,ant
1,4,0,3,14,ant
3,3,1,2,14,ant
0,5,0,4,15,ant
0,5,0,2,15,ant
1,5,0,3,6,ant
0,6,0,0,15,ant
1,5,0,1,4,ant
1,5,0,3,15,ant
0,6,0,1,8,ant
0,5,0,1,15,ant
2,3,1,3,15,ant
3,3,1,3,10,ant
0,5,0,0,15,ant
0,2,0,2,15,ant
0,6,0,2,6,ant
1,4,0,3,15,ant
0,9,0,0,0,brontosaurus
1,5,0,3,0,brontosaurus
1,2,0,2,4,brontosaurus
0,4,0,2,15,brontosaurus
0,5,0,1,15,brontosaurus
2,4,1,3,14,brontosaurus
2,4,1,3,15,brontosaurus
1,3,0,5,15,brontosaurus
0,3,0,2,0,brontosaurus
1,3,0,2,12,brontosaurus
1,4,0,2,0,brontosaurus
1,4,1,4,14,brontosaurus
1,4,0,4,15,brontosaurus
1,5,0,2,13,brontosaurus
0,8,0,0,0,brontosaurus
0,4,0,1,9,brontosaurus
2,3,0,3,15,brontosaurus
0,5,0,2,15,brontosaurus
1,4,0,2,3,brontosaurus
0,4,0,0,15,brontosaurus
1,3,0,2,15,brontosaurus
1,4,0,1,15,brontosaurus
0,5,0,0,15,brontosaurus
1,3,0,2,0,brontosaurus
0,5,0,1,15,brontosaurus
0,4,0,2,15,brontosaurus
2,3,0,3,13,brontosaurus
2,2,0,1,0,brontosaurus
0,6,0,1,15,brontosaurus
1,4,0,1,8,brontosaurus
1,5,0,3,5,brontosaurus
1,3,0,1,15,brontosaurus
1,3,0,2,15,brontosaurus
0,4,0,1,15,brontosaurus
0,4,0,2,8,brontosaurus
1,4,0,0,14,brontosaurus
2,3,0,0,0,brontosaurus
2,2,1,4,15,brontosaurus
1,4,0,2,0,brontosaurus
2,3,0,3,15,brontosaurus
2,2,1,5,15,brontosaurus
0,4,0,3,15,brontosaurus
1,2,0,3,15,brontosaurus
0,5,0,1,15,chandelier
