@relation datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original

@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
11,ant
5,ant
23,ant
17,ant
0,ant
15,ant
21,ant
26,ant
8,ant
0,ant
13,ant
22,ant
14,ant
0,ant
15,ant
6,ant
13,ant
22,ant
0,ant
12,ant
11,ant
0,ant
15,ant
26,ant
4,ant
9,ant
0,ant
29,ant
16,ant
11,ant
4,ant
19,ant
2,ant
0,ant
9,ant
6,ant
0,ant
6,ant
10,ant
26,ant
33,ant
21,ant
2,brontosaurus
4,brontosaurus
3,brontosaurus
9,brontosaurus
32,brontosaurus
11,brontosaurus
17,brontosaurus
22,brontosaurus
7,brontosaurus
20,brontosaurus
6,brontosaurus
11,brontosaurus
18,brontosaurus
23,brontosaurus
0,brontosaurus
14,brontosaurus
10,brontosaurus
20,brontosaurus
3,brontosaurus
17,brontosaurus
24,brontosaurus
19,brontosaurus
19,brontosaurus
9,brontosaurus
11,brontosaurus
0,brontosaurus
0,brontosaurus
2,brontosaurus
21,brontosaurus
8,brontosaurus
16,brontosaurus
0,brontosaurus
12,brontosaurus
20,brontosaurus
5,brontosaurus
28,brontosaurus
2,brontosaurus
0,brontosaurus
2,brontosaurus
13,brontosaurus
12,brontosaurus
10,brontosaurus
2,brontosaurus
11,chandelier
18,chandelier
6,chandelier
13,chandelier
8,chandelier
9,chandelier
24,chandelier
2,chandelier
22,chandelier
6,chandelier
11,chandelier
17,chandelier
12,chandelier
15,chandelier
4,chandelier
23,chandelier
8,chandelier
8,chandelier
17,chandelier
10,chandelier
5,chandelier
16,chandelier
21,chandelier
12,chandelier
14,chandelier
4,chandelier
11,chandelier
9,chandelier
25,chandelier
21,chandelier
27,chandelier
14,chandelier
15,chandelier
13,chandelier
40,chandelier
23,chandelier
14,chandelier
5,chandelier
15,chandelier
17,chandelier
5,chandelier
3,chandelier
29,chandelier
33,chandelier
0,chandelier
14,chandelier
17,chandelier
7,chandelier
5,chandelier
16,chandelier
6,chandelier
35,chandelier
9,chandelier
17,chandelier
14,chandelier
8,chandelier
9,chandelier
19,chandelier
10,chandelier
18,chandelier
16,chandelier
7,chandelier
10,chandelier
20,chandelier
19,chandelier
11,chandelier
9,chandelier
4,chandelier
10,chandelier
4,chandelier
9,chandelier
34,chandelier
8,chandelier
10,chandelier
23,chandelier
5,chandelier
9,chandelier
3,chandelier
12,chandelier
7,chandelier
20,chandelier
13,chandelier
7,chandelier
7,chandelier
21,chandelier
17,chandelier
0,chandelier
4,chandelier
21,chandelier
25,chandelier
5,chandelier
5,chandelier
16,chandelier
7,chandelier
40,chandelier
9,chandelier
22,chandelier
8,chandelier
11,chandelier
14,chandelier
21,chandelier
18,chandelier
12,chandelier
12,chandelier
29,chandelier
6,chandelier
3,chandelier
4,cup
19,cup
19,cup
22,cup
9,cup
4,cup
9,cup
14,cup
1,cup
11,cup
11,cup
16,cup
19,cup
7,cup
5,cup
5,cup
21,cup
17,cup
22,cup
12,cup
26,cup
3,cup
6,cup
19,cup
8,cup
5,cup
2,cup
16,cup
21,cup
17,cup
9,cup
0,cup
8,cup
0,cup
15,cup
8,cup
6,cup
16,cup
17,cup
15,cup
20,cup
16,cup
8,cup
29,cup
9,cup
14,cup
13,cup
20,cup
14,cup
3,cup
24,cup
27,cup
12,cup
12,cup
19,cup
3,cup
0,cup
0,ferry
10,ferry
14,ferry
13,ferry
17,ferry
24,ferry
18,ferry
11,ferry
8,ferry
22,ferry
22,ferry
12,ferry
19,ferry
18,ferry
16,ferry
23,ferry
7,ferry
16,ferry
21,ferry
7,ferry
23,ferry
22,ferry
17,ferry
20,ferry
18,ferry
12,ferry
12,ferry
16,ferry
0,ferry
4,ferry
23,ferry
19,ferry
8,ferry
21,ferry
17,ferry
19,ferry
23,ferry
23,ferry
17,ferry
25,ferry
19,ferry
10,ferry
31,ferry
4,ferry
13,ferry
10,ferry
29,ferry
22,ferry
10,ferry
24,ferry
21,ferry
15,ferry
8,ferry
22,ferry
10,ferry
13,ferry
24,ferry
23,ferry
16,ferry
19,ferry
3,ferry
26,ferry
17,ferry
11,ferry
27,ferry
9,ferry
14,ferry
27,Faces_easy
21,Faces_easy
22,Faces_easy
23,Faces_easy
18,Faces_easy
25,Faces_easy
29,Faces_easy
25,Faces_easy
28,Faces_easy
19,Faces_easy
23,Faces_easy
23,Faces_easy
