Dataset;Classifier;Statistic
"bppfedge";"0Bagging:-P:100:-S:1:-num-slots:1:-I:10:-W:weka.classifiers.trees.REPTree:--:-M:2:-V:0.001:-N:3:-S:1:-L:-1:-I:0.0";63.43906510851419
"bppfedge";"1Bagging:-P:100:-S:1:-num-slots:1:-I:10:-W:weka.classifiers.trees.J48:--:-C:0.25:-M:2";63.02170283806344
"bppfedge";"2AdaBoostM1:-P:100:-S:1:-I:10:-W:weka.classifiers.trees.REPTree:--:-M:2:-V:0.001:-N:3:-S:1:-L:-1:-I:0.0";58.848080133555925
"bppfedge";"3AdaBoostM1:-P:100:-S:1:-I:10:-W:weka.classifiers.bayes.NaiveBayes";53.08848080133556
"bppfedge";"4Vote:-S:1:-B:weka.classifiers.lazy.IBk-K5-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.trees.J48-C0.25-M2:-B:weka.classifiers.bayes.NaiveBayes:-R:AVG";63.43906510851419
"bppfedge";"5Vote:-S:1:-B:weka.classifiers.lazy.IBk-K1-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-R:AVG";61.51919866444074
"bppfedge";"6Stacking:-X:10:-M:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K5-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.trees.J48-C0.25-M2:-B:weka.classifiers.bayes.NaiveBayes";63.939899833055094
"bppfedge";"7Stacking:-X:10:-M:weka.classifiers.trees.J48-C0.25-M2:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K5-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.trees.J48-C0.25-M2:-B:weka.classifiers.bayes.NaiveBayes";57.84641068447412
"bppfedge";"8Stacking:-X:10:-M:weka.classifiers.bayes.NaiveBayes:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K5-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.trees.J48-C0.25-M2:-B:weka.classifiers.bayes.NaiveBayes";39.27378964941569
"bppfedge";"9Stacking:-X:10:-M:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";62.10350584307179
